Event Name,BRNGP,ITAGP,PORGP,ESPGP,MONGP,AZBGP,FRAGP,AUT1GP,AUT2GP,GBRGP,HUNGP,BELGP,NEDGP,ITA2GP,RUSGP,TURKGP,USGP,MEXGP,BRAGP,QTRGP,SAUDGP,ABUDGP,BRNEP,ITAEP,POREP,ESPEP,MONEP,AZBEP,FRAEP,AUT1EP,AUT2EP,GBREP,HUNEP,BELEP,NEDEP,ITA2EP,RUSEP,TURKEP,USEP,MEXEP,BRAEP,QTREP,SAUDEP,ABUDEP,GBRSR,ITA2SR,BRASR
Track,BRN,ITA,POR,ESP,MON,AZB,FRA,AUT1,AUT2,GBR,HUN,BEL,NED,ITA2,RUS,TURK,US,MEX,BRA,QTR,SAUD,ABUD,BRN,ITA,POR,ESP,MON,AZB,FRA,AUT1,AUT2,GBR,HUN,BEL,NED,ITA2,RUS,TURK,US,MEX,BRA,QTR,SAUD,ABUD,GBR,ITA2,BRA
Type,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,GP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,EP,SR,SR,SR
Completed,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x
Date,28-Mar,18-Apr,2-May,9-May,23-May,6-Jun,20-Jun,27-Jun,4-Jul,18-Jul,1-Aug,29-Aug,5-Sep,12-Sep,26-Sep,10-Oct,24-Oct,7-Nov,14-Nov,21-Nov,5-Dec,12-Dec,28-Mar,18-Apr,2-May,9-May,23-May,6-Jun,20-Jun,27-Jun,4-Jul,18-Jul,1-Aug,29-Aug,5-Sep,12-Sep,26-Sep,10-Oct,24-Oct,7-Nov,14-Nov,21-Nov,5-Dec,12-Dec,17-Jul,11-Sep,13-Nov
Track #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,10,14,19
Type #,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
Event #,1.2,2.2,3.2,4.2,5.2,6.2,7.2,8.2,9.2,10.2,11.2,12.2,13.2,14.2,15.2,16.2,17.2,18.2,19.2,20.2,21.2,22.2,1.2,2.2,3.2,4.2,5.2,6.2,7.2,8.2,9.2,10.2,11.2,12.2,13.2,14.2,15.2,16.2,17.2,18.2,19.2,20.2,21.2,22.2,10.1,14.1,19.1
1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0